,NO,song,group,lyrics
10,7,Tell_Me_Your_Wish_(Genie)_(song),Girls-Generation,thats right come wish tell small dream within ideal person inside head look im genie dream genie get dream car speed youre sitting next throw everything guidance overwhelmed heart explode even flies away wind right moment world yes love always believe dreams passions want give im goddess fortune wants make wishes come true tell wish im genie boy tell wish im genie wish tell wish im genie dream tell im genie world wish arent tired boring days ah become buried ordinary life stop wake superstar shining star superstar like trembling beating heart release body harley world simply stage woah sound like cheers heart body temperature neo im path forever biggest fan yes love always believe believe dreams passions want give im goddess fortune make happen wants make wishes come true tell wish im genie boy tell wish im genie wish tell wish im genie dream tell im genie world tell wish tell need tell hope dj put back yes love always believe dreams passions want give want im goddess fortune wants make wishes come true soweoneul malhae bwa fantasies yes love youre music show genies path love youre joy wishes love want become genie grant luck tell wish im genie boy tell wish im genie wish baby tell wish im genie dream aha tell im genie world tell wish im genie boy tell wish im genie wish
11,8,Oh!_(song),Girls-Generation,im person knew brand new sound new one round dance dance dance till run town oppa oppa ill ill hey oppa look take look first time ive spoken like fixed hair put makeup notice thump thump heart beating continue imagining proud want tell oh oh oh oh oppa love ah ah ah ah lot lot embarrassing dont laugh truth dont make fun either im saying stupid things im person knew brand new sound new one round dance dance dance till run town oppa oppa ill ill oppa listen stop saying things dont think younger sister youll regret year dont know thoughts dont realize joke around immature person listen oh oh oh oh oppa love ah ah ah ah lot lot embarrassing dont laugh truth dont make fun either might cry im person knew brand new sound something heart different today dont put get mad oppa oppa keep tell boy boy love ah oh oh oh oh oppa love ah ah ah ah lot lot oh oh oh oh oh oh oh oh oppa love ah ah ah ah ah ah ah ah lot lot im saying stupid things oh oh oh oh ah ah ah ah oh oh oh oh oh oh oh oh oppa love ah ah ah ah ah ah ah ah lot lot oh oh oh oh oh oh oh oh oppa love ah ah ah ah ah ah ah ah lot lot oh
12,9,Way_to_Go!,Girls-Generation,tell find strength raise sparkling eyes everyone wants faster oh im ordinary girl wind moves freely dont know everyone strength weve made far really nothing lets change world filled things beyond apprehension complicated world exciting one reason yes tell love embrace laugh together everyone wants faster oh im ordinary girl sky blue dont know everyone heading strength weve made far really nothing lets change world filled things beyond apprehension complicated world exciting one reason like way set free set free boy ever since showed ive changed everything changed lets start alright strength weve made far really nothing world changed filled things beyond apprehension complicated world exciting one reason yes ready love really nothing filled things beyond apprehension complicated world exciting one reason
13,10,Kissing_You_(song),Girls-Generation,tuturu tututu kissing baby tuturu tututu loving baby feel happy joking kiss even cute innocent expression without knowing like lady lips calling name walk matching feet holding hands want lean shoulder tell thanks love give happiness kissing oh love tomorrow lying next warm sun sing love song smile sweet happy words love tuturu tututu kissing baby tuturu tututu loving baby kiss closing eyes cheeks turn red already fallen chest hear heart beating walk matching feet holding hands want lean shoulder tell thanks love give happiness kissing oh love tomorrow lying next warm sun sing love song smile sweet happy words love love love love much heaven always make happy smile ill promise precious girlfriend stay next eyes always arms walk matching feet holding hands want lean shoulder tell thanks love give happiness kissing oh love tomorrow lying next warm sun sing love song smile sweet happy words love sweet happy love words love
14,2,That_That_(Prod._%26_Feat._SUGA_of_BTS),BTS,wikipediapsypsy 2022 psy coming back come hither wikipediapsypsy long time see huh minute huh back laughing crying living loving lets get loco pandemics uh yeah feeling amazing uh vibes coming uh everybody say wikipediapsypsy aching got ta scratch itch crowded streets got ta love hustle bustle north south east west ayy gangnam gangbuk ayy everyone gather throw hands air say yeah wikipediapsypsy feel feel woahyeah woahoh feel feel woahyeah ah wikipediapsypsy mark get ready go set go oh like like feeling good babe babe shake left right top bottom sing one two three thе four sing wikipediapsypsy like like babe likе like yo like like babe like like suga wikipediapsypsy hey forgotten living like like unchanged even time goes like like dont care dont care like like like everyone ive longed longed everybody get ready set go ive gotten better taking punches tried hit words must feel uncomfortable prayed fail wished gather together smack lightly thats enough ohohoh shut lets play ohohoh min yoongi park jaesang suga wikipediapsypsy feel feel woahyeah woahoh feel feel woahyeah ah suga wikipediapsypsy mark get ready go set go oh like like feeling good babe babe shake left right top bottom sing one two three four sing wikipediapsypsy like like babe like like yo like like babe like like yo suga wikipediapsypsy wan na ahyeahyeah say wan na ahyeahyeah wan na say like babe wan na ahyeahyeah say wan na ahyeahyeah wan na say like babe like
15,6,Left_and_Right_(Feat._Jung_Kook_of_BTS),BTS,wikipediacharlie puthcharlie puth memories follow left right feel feel take every corner mind whatcha gon wikipediacharlie puthcharlie puth ever since daday went away dont know erase body brain whatcha gon maybe focus instead think nights tangled bed wikipediacharlie puthcharlie puth oh oh oh oh youre going round circles got stuck head yeah wikipediacharlie puthcharlie puth memories follow left right feel feel hеre take evеry corner mind love stays day night feel feel take every corner mind whatcha gon jung kook ever since daday went away someone tell much got ta drink pain whatcha gon things cant forget think nights tangled bed jung kook oh oh oh oh youre going round circles got stuck head yeah jung kook memories follow left right feel feel take every corner mind mind love stays day night feel feel take every corner mind whatcha gon wikipediacharlie puthcharlie puth jung kook know youre one got away even baby im still okay know dreams theyre every time close eyes wikipediacharlie puthcharlie puth jung kook memories follow left right feel feel take every corner mind whatcha gon love stays day night feel feel take every corner mind whatcha gon oooh wikipediacharlie puthcharlie puth jung kook feel feel take every corner mind whatcha gon
16,13,Mikrokosmos,BTS,jungkook v twinkling starlight building blinking light shining brightly rooms stars jhope suga rm one light ambition light rebellion peoples lights precious dark night dont lonely like stars shine dont disappear cause youre big existence let us shine jimin jin perhaps reason night looks beautiful stars lights us jimin jungkook got dream looking got inside pitch black nights lights saw another saying thing starlight shines brighter darkest night starlight shines brighter darkest night deeper night brighter starlight rm one history one person one star one person 7 billion different worlds shining 7 billion lights suga 7 billion lives citys night view possibly another citys night dreams let us shine shine brighter anyone else one v jungkook perhaps reason night looks beautiful stars lights us v jin got dream looking got inside pitch black nights lights saw another saying thing starlight shines brighter darkest night starlight shines brighter darkest night deeper night brighter starlight v jungkook jin city lights citys star remember night sky saw young people light people stars place full people lights people lights shinin v jimin got breathe looking got inside pitch black nights bts shine dream smile oh let us light night shine ways shine dream smile oh let us light night shine way tonight na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na
17,14,The_Truth_Untold,BTS,v garden full flowers loneliness full thorns hung sand castle jungkook name someplace go oh could tell saw snuck garden jin know warmth real hand picks blue flowers want hold jimin fate dont smile light since cant get closer dont name call jungkook know cant show give cant show pathetic self put mask go meet still want jin flower resembles bloomed garden loneliness wanted give taking stupid mask jimin know never hide ugly v im afraid im pathetic im afraid case leave end put mask go meet jungkook thing garden world grow flowers resemble pretty breathe knew still want still want jin maybe time little much mustered courage stood front would everything changed jimin im crying sand castle left alone thats disappeared thats broken looking broken mask still want jungkook still want still want jimin still want
18,21,Answer:_Love_Myself,BTS,jimin im opening eyes darkness heartbeat sounds unfamiliar jungkook im looking mirror fearridden eyes asking question suga loving might harder loving someone else lets admit standards made strict thick tree rings life part lets forgive lives long trust maze winter passes spring always comes jungkook eyes cold night try hide keep tossing turning jimin maybe fell order take place countless stars target thousands bright arrows alone jin youve shown reasons love ill answer breath path v yesterday today tomorrow im learning love exceptions rm maybe theres answer maybe isnt answer either loving doesnt require anyone elses permission im looking dont wan na die anymore used sad used hurt itll make beautiful jhope yes beauty knowing going path loving need im walking action needed attitude towards thats happiness need ill show got im afraid love jin beginning end theres one answer jimin keep trying hide mask even scars mistakes make constellation vjungkook youve shown reasons love ill answer breath path jungkook inside jiminv theres still awkward part jinjimin youve shown reasons love im learning love ill answer breath path v yesterday today tomorrow im learning love exceptions
19,23,Save_Me,BTS,jimin want breathe hate night want wake hate dream im trapped inside im dead dont wan na lonely wan na jungkook dark youre dangerous wrecked save cant get grip v listen heartbeat calls whenever wants jin within pitch black darkness shining brightly v give hand save save need love fall fall jin give hand save save need love fall fall jungkook give hand save save jimin give hand save save jungkook save save suga today moon shines brighter blank spot memories swallowed lunatic please save tonight please save tonight please save tonight within childish madness save tonight jhope knew salvation part life helping hand embrase pain best youre thing please raise voice laugh play jungkook listen heartbeat calls whenever wants jimin within pitch black darkness shining brightly v give hand save save need love fall fall jin give hand save save need love fall fall jungkook give hand save save jimin give hand save save rap monster thank letting helping fly giving wings straightening waking suffocated waking dream living think sun comes gave sadness dog thank us jimin give hand save save need love fall fall jungkook give hand save save need love fall fall
20,24,Dynamite_(Holiday_Remix),BTS,jungkook cos ah ah im stars tonight watch bring fire set night alight jungkook shoes get morn cup milk lets rock roll king kong kick drum rolling like rolling stone sing song im walking home jump top lebron dingdong call phone ice tea game ping pong bang rm jhope getting heavy hear bass boom im ready woohoo life sweet honey yeah beat chaching like money huh disco overload im im good go im diamond know glow hey lets go jungkook jimin cos ah ah im stars tonight watch bring fire set night alight hey shining city little funk soul ima light like dynamite woahohoh v rm bring friend join crowd whoever wan na come along word talk talk move like wall day night skys alight dance break dawn hey ladies gentlemen got medicine keep ya eyes ball huh suga jimin rm getting heavy hear bass boom im ready woohoo life sweet honey yeah beat chaching like money huh disco overload im im good go im diamond know glow lets go jungkook v cos ah ah im stars tonight watch bring fire set night alight hey shining city little funk soul ima light like dynamite woahohoh jungkook jimin jin dynnanana nananana nanana life dynamite dynnanana nananana nanana life dynamite shining city little funk soul ima light like dynamite woahohoh jungkook jhope jimin v dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light like dynamite dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light like dynamite jimin jungkook jin cos ah ah im stars tonight watch bring fire set night alight shining city little funk soul ima light like dynamite ahhh cos ah ah im stars tonight watch bring fire set night alight set night alight ohhh shining city little funk soul ima light like dynamite woahohoh light like dynamite jungkook jimin v dynnanana nananana nanana life dynamite life dynamite dynnanana nananana nanana life dynamite ohhh shining city little funk soul ima light like dynamite woahohoh
21,25,Moon,BTS,night bright moon couldnt hide red moonlight tears facial expression seen shine oh moon moon want place dark still come near oh moon remove smile moonlight please dont let shine till morning comes nobody see please hide night bright moon couldnt forget blue sky smile face seen shine oh moon moon please want alone place come near oh moon reduce sadness moonlight please dont let shine till morning comes nobody see please hide moon please take sky dark universe hide star please hide night bright moon couldnt cry
22,26,00:00_(Zero_O%27Clock),BTS,jungkook days days sad reason body feels heavy days everyone except seems busy competitive feet dont move forward even though seems like im already late world mean jimin yeah speed bumps many places rattle heart crumples im often lost words oh even though ran hard oh v come home lie bed wonder fault chaotic night suddenly look clock almost 12 oclock jin something change probably wont happen still day ending isnt v second hand minute hand overlap world holds breath little bit zero oclock jimin gon na happy gon na happy jin like freshly fallen snow lets breathe like beginning v gon na happy gon na happy jungkook turn around everything new zero oclock jimin tempo gradually starts slip cant make faces easy forget knew well theres single thing thats like way feel v right past even say easy fault wrong answer echo jin come home lie bed wonder fault chaotic night suddenly look clock almost 12 oclock jimin something change probably wont happen still day ending isnt jin second hand minute hand overlap world holds breath little bit zero oclock jungkook gon na happy gon na happy v like freshly fallen snow lets breathe like beginning jimin gon na happy gon na happy jin turn around jin jimin everything new zero oclock jimin fold hands together pray tomorrow v smile little little better jungkook may new song begin one ends jin jimin hope happier yeah v gon na happy gon na happy jungkook hold breath little bit pat today well jin gon na happy gon na happy jimin turn around everything new zero oclock
23,27,I%27m_Fine,BTS,v im opening eyes sky thats blue cold outpouring sunlight makes feel dizzy jimin breath quickening heart racing feel easily im alive rm alright even us even sadness erases even clouds even im endless dream even im endlessly crumpled even wings torn even day im anymore alright salvation wont ever die walk doin im fine sky clear pain say goodbye goodbye jungkook cold heart forgotten call im lonely im fine im fine jin darkness night shakes awake sleeping dreams im afraid im fine im fine jungkook im feeling fine fine fine ill let go hand know im mine mine mine cause im fine jimin im feeling fine fine fine dont wan na sad anymore could see sunshine shine shine cause im fine fine jhope im fine pain overcome without im fine dont worry smile everyone knows voice suga im fine fine sadness scars became old memory lets smile let go fine im fine fine future happiness put away fear enjoy worked hard fine jimin cold heart forgotten call im lonely im fine im fine jungkook darkness night shakes awake sleeping dreams im afraid im fine im fine v im feeling fine fine fine ill let go hand know im mine mine mine cause im fine jin im feeling fine fine fine dont wan na sad anymore could see sunshine shine shine cause im fine fine jungkook see v dim moonlight jimin hear jin faint echo jungkook im feeling fine fine fine ill shout casting spell repeating nightmare jimin im feeling fine fine fine ill keep telling even fall im fine jin im feeling fine fine fine ill shout casting spell repeating nightmare v im feeling fine fine fine ill keep telling even fall im fine im fine v im fine
