,song,group,lyrics,source
76,THANK YOU (ASAHI x HARUTO Unit),TREASURE,"I remembered that I was next to me and a person who smiled at me, and I only loved it, and I couldn't express my heart.Now I only see me now, it's useless to tell you, but I want to tell you through this song, thank you for meeting you, I was so happy that you-you-you-you-thank you, thank you, you left me nowDon't be sick instead of walking on the flower road, but I hope you will meet a good person, and I'm alone, and I'm alone, so I sigh and smile from the side (hey)The time I kept happy was passing by quickly and the time I was sick without you was so long that I loved me for giving everything to me. Thank you so much for me, I was really happy.It's useless to tell you now, but I want to tell you through this song, thank you for meeting you, I was so happy that you-you-you-you-You-Thank you, thank you, you just walked me.Thank you for not being sick, but thank you for meeting a good person.Memories will disappear someday, but I want to leave a song now, yeah, yeah, yeah, yeah again to make new memories.",0
77,Not Shy,ITZY,"Not shy, not me (itzy) I want it all, yeah not shy, not me I quickly, if I can't tell you what I want quickly, I'm hesitant when I can't go.CAUSE I like it, like it waiting why?What are you doing?Why can't I say my heart?YEAH just Tak, just Tak Tak Tak Tak Not Shy to say I want you Hey there, hey there, we don't know what your heart is, but I'm right, Ah, yes, my heart is mineSo I'm freedom, so your heart is yours, so tell me that 'CAUSE I'm not shy not shy, not me (itzy) I want it all, not shy, not me give me is, Dada, not shy, not me (itzy) I want all, not shy, not me want you, what are you?'Cause I'm not shy You're quick and quick to answer quickly, so you have to look at OOH, you just see me you will like it' cause you like it, 'cause you like it, like it?If not, I'll delete everything else, I'll be your only one, yeah just erased, buds not shy to say I want you Hey there, hey there, we don't know what your heart is, but I'm right.Ah yeah, yeah, my heart is freedom because I like my heart, so your heart is right, so tell you, 'Cause I'm not shy not shy, not me (itzy) I want it all (not shy) not shy, not me give me, dada, not shy, not me (itzy) I want all shy, not me, I want you, what are you?'Cause I'm not shy (hey!) I don't want to regret the ending, so go, go, go all pour out no, yes, no, what do you do when you do this, but if you do this, let's just be?We are, do what we do your own way not shy, not me (itzy) I want all, not shy, Not meSHY Not Shy, Not Me (Itzy) I want all you want, not shy, not me Give me, dada, Dada not shy, not me (itzy) I want itNot shy, not me want you, what are you?'Cause I'm not shy not shy, not me",0
78,Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),ITZY,"ITZY, Bebe, yah Hello, my name is Stevie Actually, I'm lying, it's really Bebe It's the meds, they make me really sleepy Klonopin, my friend, yeah, she numbs the feeling My doctor upped my dosage My mom felt bad, so she sent me roses Without it, I feel really hopeless And 5.7 of Americans know it Whoa-oh-oh, I'm living and I'm dreaming Trying to stay even, oh No, I don't need your help to make me sick, to make me ill I don't need anybody else 'cause I can break my heart myself I don't need your help getting off of this carousel I don't need anybody else 'cause I can break my heart myself Some days, feeling like a misfit Sometimes, I might make a mess But okay, I'm doing my best 'Cause I still wake up every day Might need to take a vacation To clear my mind, see new places Issues won't fit suitcases So I'm gonna be okay-ay-ay-ay Whoa-oh-oh, I'm living and I'm dreaming Trying to stay even, oh Whoa-oh-oh, I'm draining for no reason Apologize, no feelings, oh No, I don't need your help to make me sick, to make me ill I don't need anybody else 'cause I can break my heart myself I don't need your help getting off of this carousel I don't need anybody else 'cause I can break my heart myself Woo-ooh, woo-ooh, woo-ooh 'Cause I can break my heart myself There's a jumper on, Hollywood and the 101 And I'm scared, I could be that one, but I'm not (ITZY) Sometimes, I think I could use some help Sometimes, I think that I'm better than anybody else Back and forth, in and out of my shell 'Cause I can break my heart myself I don't need your help to make me sick, to make me ill I don't need anybody else 'cause I can break my heart myself I don't need your help getting off of this carousel I don't need anybody else 'cause I can break my heart myself",0
79,Queendom,Red Velvet,"Queens Ah Yeah, Ah Yeah, Ah Yeah, Ah Yeah Doo-Roo-Roo-Roo-Roo, Uh-Huh Ah Yeah, Ah Yeah, Ah YeahLaughing you (hmm, yeah) oh hey, overland we are queens in the red castle Don't need crown beyond the distant memory that we've been in the same dream, and the more different stereotypes you look at the other stereotype?Throw over the sky, we are makin 'the rules' cause we are queens and kings, the higher the hands, the more beautiful, even if the rain falls, Strong and Beautiful is all completed in different colors of Rainbow La-Da-DooBA-BA-DI-DA, LA-DI-DA-DOO, BA-BA-DI-DA Let's start again?(That 'our queendom, yeah) La-di-doo, ba-ba-di-da, la-di-da-doo, Ba-ba-di-da's hands with you (that's our queendom, OOH)WE, We, We Strong, Nothing Missin 'WAKE UP, Answer Simple Be Boss, French Whistle Whistle will be a bigger world to pay attention to you?I've been waiting for your hand. I'm going to play like you and my carnival climax?From now on, Watch Out, We are Makin 'The Rules (OH, YEAH)' Cause We are Queens and Kings, the higher your hands, the more beautiful, even if the rain rain rains, Strong and Beautiful is made in all other colors.Shout, we do it better, follow the darkness and follow the light and the new color name is ""Together"" It's Now or Never, We Got ForeverSTRONG and BEAUTIFUL Rainbow La-Di-Doo, Ba-Ba-Di-Da, La-Di-Da-Doo, Ba-Ba-Di-Da will start again?(That 'our queendom, yeah) La-di-doo, ba-ba-di-da, la-di-da-doo, ba-ba-di-da's hands with you (that's our queendom, yeah)",0
80,Ready to love,SEVENTEEN,"I'm ready to love, tell me, Can we stay together?Can we stay together?I'm a fool of love for you for your heart for you, Forever next to you, and my heart continues to grow up, and my heart is not enough to be a friend (Can We?)I didn't know all I was run away 'Cause you are my escape, Babe Love Has No Limit I wanted to be ready to love, tell me?Can we stay together?I'm a fool of love for you for your heart by Forever next to you, the opposite of the Forever world by the side, run away, hold my hand, continue Run away, so that you can fill my heart as if you are breathing me (I can do thatYou Give Me Purpose Aleady Know, Yeah, when you fall in mind, Secret Recipe My eyes know the moment you see you, so you don't say anything (can we?)I didn't know all I was run away 'Cause you are my escape, Babe You just need to be ready, Hey I'm ready to love, tell me, can we stay together?Can we stay together?I'm a fool of love for you for your heart by Forever next to you, the opposite of the Forever world by the side, run away, hold my hand, continue Run away, so that you can fill my heart as if you are breathing me (I can do thatYou Give Me Purpose Every day, my feelings are getting bigger and more, and I don't want to want to run for me to love, tell me.Can we stay together?I'm a fool of love for you for your heart by Forever next to you, the opposite of the Forever world by the side, run away, hold my hand, continue Run away, so that you can fill my heart as if you are breathing me (I can do thatUse) You Give Me Purpose",0
81,DALLA DALLA,ITZY,"It's different  Dala -dala -dala -dala -ra - - - - -the look at me and the tell me looks just like I'm flying (no, no) so what?I don't care (no) I'm sorry, I don't care, don't care Don't care (B-B-B-BECAUSE) There is more fun in the world (hey) sisters (hey) sisters (hey)In other words, I'm far away (I'm sorry, Sorry) I don't think of it (NOPE) I'm pretty and I'm not attracted.I love myself (hey!) I'm something different, yeah (oh, oh-oh) I love myself (hey!)BAD, I'm Sorry, I'm Bad, I'm just the way I am I am busy with my life. My life (my life)So yeah, I don't think it's important to others.Dala, Dala, Dala (Dala) I don't try to match the four standards. I'm good now (I'm different) Don't care What people sayAfter raising your head and chasing your dreams, Just Keep on Dreamin ', Woah Keep Your Chin Up, We Got Your Back (Hey) Keep Your Head Keep on Dreamin' (Yeah)Keep Your Head Up Keep on Dreamin '(Everybody) Pretty and no charmI'm different from the kids, I'm different, different, different (Daera) I don't try to match the four standards I like me (I'm different) I love myself (hey!) I'm something different, yeah (oh,,oh-oh) I love myself (hey!) I'm something different, yeah I'm different from you, different, yeah",0
82,Peek-A-Boo,Red Velvet,"HMM, yeah (yah) Oh gosh, oh gosh, right, I'm a little moody, I love you again (yeah, yeah, yeah, yeah).PEEK-A-BOO, I'm only loved when I'm excited, so La, La, La, La, LA my friends are all sounding like I'm really a problem I'm a fine, Fine, Fine, Fine, Fine, Fine Peek-Peek-A-Peek--A-Boo Peek-PEEK-PEEK-A-PEEK-A-BOO Hung-Hung FoxLet's not be surprised if I change my heart as fast as Kung Fu?Then I call Excuse Me Call. Let's go to play again all night, Restart a Game, Rolling Rolling, Blanca Tonight (let's go), the playground is crowded and boring (Yeah, Yeah, Yeah)Everybody's the same, oh, finally the eyek-a-boo, new, is it love?La, La, La, La, LA, my friends all sound (all sounds) You're really a problem I'm really a problem I'm Fine, Fine, Fine, Fine, Fine, Fine, Fine MA Boo-Boo-Boo, Peek-A-Boo-Boo-Boo-Boo PEEK-PEEK-A-PEEK-A-BOO PEEK-PEEK-PEEK-A-PEEK-A-BOO PEEK-PEEK-PEEK-A-PEEK-A-BOO Saga is decided by you.PEEK-PEEK-A-PEEK-A-BOO) That moon is playing until the jungle gym (peek-peek-a-peek-a-boo) peek-a-booIt's not scary to see you again, so I just felt that a new story would be unfolded (Yeah, Yeah, Yeah, yeah yeah, yeah) peek-peek-peek-aesk-a-boo (yeah, yeah, yeah, yeah) peek---PEEK-A-PEEK-A-BOO (LA, LA, LA, LA, LA) Heung-Heung Fox-That Nara (LA, LA, PEEK-A-BOO) was set as you (no, no, no, NO) It will be fun, I'll insert it (yeah, yeah, yeah, yeah) That moon is playing until the jungle gym (Na-na-na-na, OOH)Boo-Boo-Boo) It's fun, you like a-peek-a-boo-boo-boo that moon is a jungle gymyeah) peek-peek-a-peek-a-bo-boo peek-a-Boo peek-a-boo peek-a-boo",0
83,BANG BANG BANG,BIGBANG,"I wake up and come in with a black chestnut, and I can't see anyone in turn.I'm so blatantly that I'm allergic to your body.Bread bread!Bread bread, bread bread bread!Bread bread!Don't get stuck, don't get stuck, don't get stuck. Let's see the end tonight.Let's ring more all night, run the song, and the song is a vertex god or a new point.We Bang Like This All is like a total of bread bread!Bread bread!Bread bread, bread bread bread!Bread bread!Bread bread, bread, don't get stuck, don't get stuck. Let's see the end tonight.A what let's go men upward women upward Get Low Bang Bang Bang Let the BASS Drum Go Men for men to pull up the bang bang band let the BASS drum goo",0
84,Hello Future,NCT DREAM,"Big Dreams and Big Thrills Flying High, Ridiculous Imagine (Hello, Future) Can you believe that you are starting to ride the stars and burn the fire?I think I know love now Read or not, I'm going, I believe in me, Soldiers Knocking Doors Down, the Yelling Out War The times that are likely to be sent back (AYY).OH-OH (Come On) Here We Go, Here We go Satellite Radio, I waited to say that I loved the world and that wilderness without regret, we'Re coming, we're coming togetherDon't do it well, Hello, Future Meet you and shine more like you, yeah, yeah, yeah, yeah ayy, we're on the way up, we're on the way up.Yeah We're Going Way Up, We're Going (Yeah, Yeah, Yeah) On our way up, Hello, Future (Yeah) On our way up, Hello, Future Ay, the futureIf we face up, we are so similar to yo, what more will we find?(UH), will you laugh at the end?(AYY) I am destiny from now, and I love you in the same time as the short flowers that survived in BANG, BANG, BANG Fire, FireYou're stronger than anyone else. I've been waiting for you to love you even in the future of the future, come anywhere, we'Re coming Together, don't worry about it, Hello, Future Meet you more shining, yeah, yeah, yeah, yeah ayyWe'Re on the way up, we're on the way up Let's only build up beautiful time, yeah, yeah, yeah, yeah we're going ayy, we're going ayy, I'm tryna 'center, where your center be?Can you walk without shaking?Too Many Cynical ENTROPY, which went backwards, it's not far from where you are waiting for you.Peace I wanted to be short, but I wanted it again.(Yeah, yeah) I waited, come and wherever you come, do not worry (Whoa, Yeah) Well it will be good, Hello, Future Meet you more shining, yeah, yeah, yeah, yeah ayy, we'ReOn the way up, we're on the way up, let's just accumulate beautiful time, yeah, yeah, yeah, yeah We're going up (we're going up, OOH) You're my future (OOH) Just Keep Looking to the stars (Hello, Future) Yeah, I waited for you (Hello, Future) Whoa, Whoa, Whoa  Hello, Future",0
85,Glitch Mode,NCT DREAM,"Welcome aboard (protocol) Calibrating system control (Neo Culture Technology) Scratch that, bring it back (shook, shook, ha) In front of you, glitch mode (hey, hey, hey) My whole body is out of order, reload (hey, hey, hey) ) I'm dizzy, dizzy, dizzy (hey, hey, hey) I go round and round again, I'm in glitch mode (hey, hey, hey) A situation that has never been before (hmm-hmm) It's not you, only you, repetition (hmm-hmm) Trouble, trouble like a miscode, there's an emergency, it's buffering, I'm on that glitch mode (hey, hey) Engine sound is dangerous, a pit-a-pat you've never experienced, you come to me (whoop, the whoop), why is your breath stopping? My heart is accelerating, go speeding up This feeling, no words, can't get enough (hey, hey, hey) Watch me, I'ma be crazy I can't even resist, hands up, turn it around into my mind Ransom spreads in one shot (okay) Why are you like this, why are you like this, why? This is a catastrophic situation (ha-ha) Shutting me down, out of control, everything say, 'I'm too much' The sweet shower you bring sprouts a small sprout and grows a forest Growing up to heaven, touching on the sun No matter how much, no matter how much I block you, it grows Trouble, trouble like a miscode, there's an emergency I'm on that glitch mode, I'm on that glitch mode, I'm on Scratch that, bring it back (shook, shook, ha) In front of you, glitch mode (hey, hey, hey) My whole body is out of order, reload (hey, hey, hey) I get a headache, a headache, a headache (hey, hey, hey) I go round and round again, I'm in glitch mode ( hey, hey, hey) A situation never before (hmm-hmm) Not you, but only you, repetition (hmm-hmm) Trouble, trouble like a miscode, there's an emergency, it's buffering, I'm on that glitch mode (hey, hey) ) Code is buffering, painting this scene Your beauty is clickbait (woo) Going to you, autopilot in the air It's a formula I've never seen before (what?) I can memorize everything about you All night (all night) without you All dreams are nightmares (nightmare) The glitch mode that started You don’t have to be surprised, at least one error, I like it If this is love, okay My head freezes even at the tip of a brushed fingertip Strange sensations dominate my body There was no you, there was no me A place where only emotions drift, everything other than you, out of the space (yeah) (Neo Culture Technology) ♪ 299, 792 per second Light speed, bass drop Robot blast, start off Light speed, bass drop Scratch that, bring it back (shook, shook, ha) glitch mode in front of you (hey, hey, hey) my whole body is broken, reload (hey, hey, hey) I go around, go around, go around again, I’m in glitch mode (hey, hey, hey) A situation that wasn’t there before (hmm-hmm) It’s not you, only you, repetition (hmm-hmm) ) Trouble, trouble like a miscode, there's an emergency, it's buffering, I'm on that glitch mode",0
86,Hot Sauce,NCT DREAM,"Hot SAUCE, depth that, EH Follow me twist that, eh hot sauce, choose the OOH taste.Don't even notice us now, just Taste it (Taste )'s secret is a little bit of a different spicy (AYY).Wake up the open senses that are clearly visible (between you and me) and wake up the five senses that will be awakened, MA SKILL MA DISH  Choose MA DISH (GOT IT, GOT IT, GOT IT, GOT IT) MA DISH HOT SAUCE, depth that, Eh day, you can see the OOH tastes when you have twist that, eh hot sauce.You can be able to be able to do you like? Whoa?The flavors of 'cause you can not stop, I'm going to find Get YA (AYY) until the end, Every Day (and Every Night) is addicted to be addicted to you.Yes, two hands and feet are drawn to me (already) more stimulating every moment, what we gon 'Eat?Choose MA Dish I'm the one, What you want?What you want?What you want?AH, YA (Got It, Got It) Choose MA DISH I'm the ONE, What you want?What you want?What you want?AH, YA (GOT IT, GOT IT, GOT IT, GOT IT).MA DIELIN 'FEELIN' who swallowed you.Want it, baby hey, what I choose your own chef ayy MA DISH  I'm the one, what you want?(Hey) What you want?What you want?Ah, ya (that's right, yeah) choose Ma Dish I'm the one, What you want?(Hot Sauce) What you want?What you want?AH, YA (depth that) (GOT IT, GOT IT, GOT IT, GOT IT, GOT IT).When you choose OOH your taste, MA DISH",0
87,Heart Attack (츄),LOONA,"Are you ready?(AH-AH) You Attack My Heart You Attack My Heart (Ah-Ah) You Attack My Heart You Attack My Heart (DAMN) We know the new world in my heart that was quiet on my first day.My hidden secrets I just wanted to tell you all of my MOOD or one step first, I met the day hiding on the first step (oh).I feel so dizzy darlin 'I'm getting more and more of you attack my heart you attack my heart you attack my heartI put you in my heart and it became red and I couldn't stop it, and I thought more exceptionally more.If you look at the love trail, I know the heart hiding as if the sparkling flame is splashing in my heart (oh) I'm getting more and more exciting.Increasingly, I fall into you and think about the flow of you attack my heart, and I think about Anywhere, Anywhere, and I can see the endlessly and come with you.I'll give you all take my hearts, you are my destiny light and my heart is full, Hey will be more and more vivid.ART obvious we see destiny light or sweet addiction for this night darlin ‘OOH-OOOh more deeply (OOH-OOO))I feel like this darlin ‘I am getting more and more of you, you attack my heart",0
88,PTT (Paint The Town),LOONA,"Get ready are you ready for some action?Our Mission, which started here, can stop me here, so if you look at other colors in me, you can feel that you were attracted to each other (Okay) (UH-HUH) Wanna be the cool kid (uh-huh).UH-HUH) The moon that came to mind on a new day, Pink or Black Grid Roam-UM-UM, Roam (Yeah, Yeah, Yeah) (Yeah, Yeah, Yeah) will come to mind when you are ready, kill it to the daylight goGo, let us put on a show, show other other things more, broken more, Roll we don't stop until the sun goe up and dancing down to do you can make us Stop We'Re ABOUTTo Paint the Town (RA-TA-TA-TA-TA-TA-TA-TA) Paint the Town (RA-TA-TA-TA-TA-TA-TA)-ta-ta-ta-ta-ta-ta-ta) You can not stop us, just we, usually can't stop  We'll tracking to the moonThe dog's eyes may be covered, there's no answer, but I will continue to run, Don't Touch IT (Don't Touch It (Don't, Don't) We ain '.You Gon 'Ball with Us, then Sweed Sweep it like a wless to the day, when that moon comes to mind (Come on) PAM-PA-PAM, We'rе Devilouses We Curious, So Don't Mess with Us (Yeah)Go, go, let us put on a show, show differentHae MORE, breaking more, Roll, Roll (Roar) We Don't Stop Until the Sun Goes Up and dancing down and dancing to no way you can make us stop(RA-TA-TA-TA-TA-TA-TA-TA) Paint the Town (RA-TA-TA-TA-TA-TA-TA-TA) Paint the Town (RA-TA-TA-ta-ta-ta-ta-ta) You can not stop us, just we, can't stop Korean  We'll taking to the moon, covering the moon's eyesI might cover up 12 different doors (let me in just, baby) We will face again Open your eyes, is it money or the sky?(OH, NO) and Living is wise, if you Never Everyk Twice  You Break It, You Make It You Kill ITThe town Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na, Na (RA-TA-TA-TA-TA-TA-TA-TA-TA) You can not stop us, just we, us can't stop",0
89,Left & Right,SEVENTEEN,"One, two, three, four Left and right, Left and Right Left and Right Seventeen, HA should not be forgotten., I want to go on!Throughout, pierced, smile more, more than 20 more, haha Hahaha This is the ceremony when crossing the finish line (yeah, it goes like) Left and Right, Left and Right Left and Right, RIP it, Rip it and RightLEFT and RIGHT LEFT and RIGHT, RIP IT, RIP it it more, more, more, more certain, follow me (yeah, it goes likes) Left and rightyeah, yeah, yeah, yeah) I run up, I run up, I run up I run up, I don't say anything else, and I'm talking about it.When do you go up, up, up, run, run, and run?It's enough to run, yeah, yeah, yeah So what do you do?How about not running is a way?Yeah, yeah smile more, more than twenty more, HahahahaAnd Right Left and Right, RIP it, Rip it If you feel good (oh yeah) more, more certainly, more certain, follow me (yeah, it goes like) LEFT and Right (Yeah), Left and Right (Yeah)Right, Rip it, Rip it, not alone, we don't have to be scared (yeah, yeah), not alone, but we are we, we, yeah, yeah, yeah, yeah, and passionate nets of passion.One (one, two, three, four) Left and right, Left and Right Left and Right, RIP it, RIP it Left and Right, Left and Right Left and RightMore certainly, follow me (yeah, it goes like) Left and Right, Left and Right Left and RIGHT, RIP IT, RIP it one, two, three, four, two, two, three, two, three, threeFour, four, two, three, four",0
90,Never Goodbye,NCT DREAM,"I can't catch you with such words that I will stop the changing season, but I'm going to see you so much to see you, so I will not be blurred.One day, I can't stand tears, so I will find a way to come back with the sparkling stars. It's never Goodbye  You can't always walk the same direction because you have a way to go now.If you can't find a way to get together, I'll always shine you from afar if you can't find a way to go together (so)Even if you close your eyes, you know that noT normal for you, I'm not normal, and wait for a while to find it at once.So please (so please), Don't Cry (Don't Cry), I promise so that my heart does not run again (again), so I can't stand tears one day when I endure a dense and long night.If you lift it, I'll find a way to come back with the sparkling stars I'm never Goodbye someday I'll meet you on the day you come back to you.One day, I couldn't stand my tears so I could find a way to come back with the shiny stars (I'll find a way back)., STARLIGHT in the darkI hope the seat will be completed. Don't be anxious.",0
91,Cyberpunk,ATEEZ,"The light of the city where the darkness came down is dizzy, dancing, and the silent silence of the soul, crushed by the empty eyes of the brilliant neon, the silence of the soul, as if it were paralyzed, OH, My (OH, My), OH, My (FIX on) As if no one has disappeared, it seems to have been forgotten here.Everyone is asleep, Frozen Night I Wanna Feel Alive (OH) Don't Wanna Stay in the Dark (Ah) No one is sad.Don't Wanna Stay in the Dark (Ah, Haha) The eyes taken by the lost light turned around, and Falling Down (Go) became familiar, led by the day, but no pen blue, red tear, myThe existence itself is Doubt's existence, but it's inevitable, but I'm hitting in the black and white photo studio that asks for the answer.I'm mine, the mines that are crushed by the silence that looks like a mine, and the silence of the soul has been stolen as if it is paralyzed with all night (all night), all night so tel me, where do weGo?Manipulated the sky, Manipulated Stars Manipulated Time, Tell Me the Truth This place is all asleep in Full of Lies.T Wanna Stay) No one will be sad.Lost the streets, and in the midst of the stopped needle future and the emotional controlled reality that became a consumables in the past, the lie that the lie blooms like smoke, and no one can escape the sun (NO, NO, NO).Carnival (OH-OH) I Wanna Feel Alive (OH) Don't Wanna Stay in the Dark (AH) No one is sad here Full of Lies (Sick of Th if Night)Feel Alive (JUST WANNA Feel Alive, OH) Don't Wanna Stay in Thе Dark (Stay, Stay in the Dark)",0
92,WONDERLAND,ATEEZ,"All Eyes on me now, if you Still Doubt Mine it 'Too Pointless, We'Re Still Young and Wild We Gonna Find New World To Be Mine The island is a dream and dreaming starting wings at the endLike Peter, the heart that looks like a hey, pump it up.Must Going On Gaza (EH-OH-EH-OH-EH) Let's go to the end waiting for the end to wait on my, my way, all (EH) on my, my way, one, two, jump (run, jump) On my, my way, let's make a road without a way, go, go, and wait for the end to wait (FIX on!) YEAH, Ready Now for NextI told you to go higher than Tambourine Jack Sparrow, which is bigger, I hit me without shaking.You will stop here, and if you want to be so in front of you, you can't come back, but the OH, We Must Going ON Gaza (EH-OH-EH-OH-EH) Let's go to the end of the end of the end.EH) on my, my way, one, two, jump (jump, run) on my, my way, let's make a way, let's go, go to the end.Where to go (someone)(Where to go) Even if it's not easy, we like it, so we like EH, EH-EH, EH-EH (jump, run) EH, EH-EH, EH-EH (jump, run) EH, EH-EH, EH-EH (jump, jump) Let's go, let's go, and wait for the end to wait on my, my way, all set (EH) on my, my way, one, two, jump (jump, jump) on myMy way, let's make a road without a road, go, go, and wait for the end to wait (let's go)",0
93,SHOOT!,ITZY,"Check my Look steps a dance a little stronger choose, red shoes yeah no quitations that I look well, this is what I do I go to you.Don't even know I don't even know, like HMM, shoot, shoot, like shoot butterfly, I don't like your heart, See what I can do you, hook your heart (hook your mindSo what you do?(So what you do?), Kaboom, let me tell you now your heart, you sorry, you don't change, I'm not fool that 'what I do (that' what I do) look at my yys, yeahYeah can hear your heart boy, you gotta Move make a dream, you and I and I and Pretty Cool (Pretty cool)I pass by or do not be silly baby, do not break my heart hmm, shoot, shoot butterfly, I don't like your heart, See what I can do in front of you, hook your heart so what you do?(So what you do?) Burst, Kaboom Tell me now, let's summarize your heart, you sorry, do not change, I'm not fool that 'what I do (that' what I do) La-la- la-la-La-La-La, La-La-La-La-La-La-La-La (Yeah, Yeah) La-La-La-La-La-La-La That 'What I do I knows that likesA FOOL, yeah but that 'that I do",0
94,Monster,EXO,"She got me gone crazy woo Why is your heart excellent? You're so beautiful.I'm already in the curiosity of the eyes to hide the hidden thrills, and don't be afraid love is the way shawty I got it you can call me me creeping in your heart BabIf you die without being imprinted in your heart, live forever come in you call me Monster (You Call me Monster) She got me gone crazy (oh yeah shehe got me)) I hate you because I was a little urgent, but I wanted you to do you mean my type chest started by not lying.Monster I'm Creeping in Your Heart Bab Turns up and swallowed and swallowed you, and I will steal you.I'm turning upside down, I'm sorry you make me so crazy, you know you do all fear so I'm untouchable man, but your heartfelt sincerity is not refusing to hide and steals (WHO?)I'm a part of your existence (How We do?) On the day, I accept your fearful worries and enjoy your pain that you can enjoy you and play with you.I'm creeping in your heart baby (yeah yeah yeah)Yeah yeah yeah yeah, I will steal you and indulge you and ruin you.Creeping, Creeping, Creeping You Creeping",0
95,The Eve,EXO,"Look right, what's the situation The wall collapses over the embarrassing of your embarrassed walls, and the dawn of the brighter, the end of the brighter Yeah Uh ends endlessly, and the problem of repeating the problem that cannot be cut off at the end of the blunt blade.You have to listen to the thrilling sound and bump into it.A lot of earnest dreams that grew up trampled with a crazy street that seemed to be unacceptable, so that they had to wake up and hit the scenery over the fence.At the moment, it was necessary to wake up again. The newly taught voice of false change that was distorted in the new morning, and made the sea to swallow all the sea to swallow it.The moment I drove out, I had to wake up again.",0
96,VISION,Dreamcatcher,"Gather Around (the trembling of the heart that ranged the beliefs) No one can penetrate the future of the dream of the future not for me (OOH-OOOH-OOOH) Desert (the thirsty thirsty)I can't fight against the flag, I can't hide anymore, I can't hide, I can't hide, I can't hide, move forward and move forward, and to all of us all -give you a vision.You, Gonna hunt you, karma gonna get you, gonna get you, karma escape, and only resentment remains, so we win the straight not for me(Thunder deeply down) With a flag on top of the land guarded within, I can't fight, I can't hide anymore, I can't hide anymore.Salute I'll Give You a Vision The pain of enduring the pain is spreading again, and they are not for them.For the beautiful place, we headed towards us, advanced to the Give it Up Tonight (OOH-WOA, WHOA), and on the road full of reload (reload)Yeah) Salute I'll Give You a Vision The pain of a minute is overlooked as it ends up (endlessly).",0
97,HWAA,(G)I-DLE,"(YEAH) As if the cold winter was overwhelmed, the Yeah time was frozen and the darkness of the cruel winds left deeper (out), and the endless seasons unfolded (erased)I'm getting angry that tears can't live anymore in me, and the cold winds that are cold to get back in the spring that have lost their loses are covered with white. Unplugged Fire(burned, burner) Fire(flowers) Fire(burner, burner) Fire(flower fruit) yeah yeah, my resentment is much more resentful (yeah, yeah)YEAH) The poems left behind the lonely cold will be released on the flower road. The cold winds that are cold to regain their eyes are covered with white eyes so that they can melt all when the morning comes in the morning.Flower Fimuri) I have a broken ties in my arms, burn me the time I have, spark flower (fire) ",0
98,Red Flavor,Red Velvet,"Red-red-red taste, curious honey bite strawberry strawberry that flavor CORNER CANDY SHOP Baby My favorite is the summer flavored palm tree shade, and the hot summer night blows and the loving is so easy nineteen.It's so good and nice, and I keep falling in love with my first sight.Red-Red Flavor RED, Red-Red Flavor Red-Red-Red Flavor Red, Red-Red-Red Flavor Opens the seven rainbow doors, and your world is exciting, and the color of your love is less than the MMH sun.Look at me what do you want to do, what do you think?What can you do today?Imagine my hand, red-red tastes, curious honey (yeah) If you bite honey (yeah) Strawberry, the flavored corner candy shop finds Baby (yeah, hey, hey) My favorite is summer taste, yeah peach juice, sweet andSOUR MIX MOOD Cocktail to give you a brew (red) ear is more than imaginative Up and Bang (Red) Bet You Wanna, Bet You Wanna Dance Like ThisSo, can't we know if you don't say Red Uh?My heart grows bigger and it might be like Ice Cream that has been shed.Taste, I'm curious, honey (honey) If you bite, it's getting melted in strawberry that flavor (berry) CORNER CANDY SHOP Baby My favorite is the summer taste I like the summer you in summer",0
99,Blah Blah Blah,ITZY,"Somehow DIZZY Melancholy Days of Dizzy are fuzzy, GOSH vague glue my mind (Mind, Mind) The meaning of doing my best is just laughing every time I laugh?Silly only the lip of the lip It is no one who is justice of justice Who Is Lying?Blah, blah Kicking is the only complaint of NO, NO, NO I'm on My Way, and who is the protagonist?(Who is the leading role?) So (yes, we) Say Bow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow, unsteading, do not disturb (do not disturb) do you know what I MEAN NOW?Do you know what I mean now?) Woo woo woo woo woo wooy all Woo Woo Woo Woo Woo JUST KEEP ON FIGHTINGWatch Me (Watch Me) Trust Me, Trust Me (Trust Me) Yeah Life is Stage, AD-LIB continuous waste time, you can't give up Finish who is forced to imitate someone.HEATING The noise that resonates in the dream ""Isn't it the limit?"" """" that's a Bad Choice ""oh! Whenever They Say Blah, BLAHWho?(Who is the leading role?) So (yes, we) Say Bow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow, unsteading, do not disturb (do not disturb) do you know what I MEAN NOW?Do you know what I mean now?)  I don't believe in any time I can't believe it is a ranging heartbeat.?(Who is the leading role?) So (yes, we) Say Bow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow Wow, unsteading, do not disturb (do not disturb) do you know what I MEAN NOW?Do you know what I mean now?) Woo Woo Woo Woo Woo Woo Woo Woo Woo Woo JUST KEEP ON FIGHTING",0
